Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,1. Category
"Bangsar, Kuala Lumpur","6,500,000",4,4,2,Bungalow,6600,Fully Furnished,High
"Brickfields, Kuala Lumpur","3,750,000",4,3,10,Bungalow (Corner),9149,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","2,600,000",5,4,4,Semi-detached House,3600,Partly Furnished,Mid
"Jalan Ipoh, Kuala Lumpur","598,000",3,2,2,Townhouse (Intermediate),1080,Partly Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","1,680,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,700,000",4,3,2,2-sty Terrace/Link House (Intermediate),1900,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","4,700,000",4,3,2,Bungalow,9000,Unfurnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","3,100,000",5,3,2,Semi-detached House (Intermediate),3600,Partly Furnished,Mid
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","2,280,000",4,3,2,Bungalow,7167,Partly Furnished,Mid
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","1,980,000",4,3,2,Bungalow (Intermediate),5837,Partly Furnished,Mid
"Segambut, Kuala Lumpur","338,000",2,2,2,2-sty Terrace/Link House (Intermediate),602,Partly Furnished,Low
"Segambut, Kuala Lumpur","350,000",2,2,2,2-sty Terrace/Link House,602,Fully Furnished,Low
"OUG, Kuala Lumpur","3,500,000",4,4,6,Bungalow,8000,Partly Furnished,Mid
"Sungai Besi, Kuala Lumpur","900,000",6,5,3,3-sty Terrace/Link House (Intermediate),1600,Fully Furnished,Low
"Taman Melawati, Kuala Lumpur","750,000",4,3,3,2-sty Terrace/Link House,1800,Partly Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","2,880,000",5,3,4,2-sty Terrace/Link House (Corner),4244,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","2,400,000",5,5,3,Condominium,2702,Partly Furnished,Mid
