Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Bangsar, Kuala Lumpur","6,500,000",4,4,2,Bungalow,6600,Fully Furnished
"Brickfields, Kuala Lumpur","3,750,000",4,3,10,Bungalow (Corner),9149,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","2,600,000",5,4,4,Semi-detached House,3600,Partly Furnished
"Jalan Ipoh, Kuala Lumpur","598,000",3,2,2,Townhouse (Intermediate),1080,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","1,680,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","1,700,000",4,3,2,2-sty Terrace/Link House (Intermediate),1900,Partly Furnished
"Damansara Heights, Kuala Lumpur","4,700,000",4,3,2,Bungalow,9000,Unfurnished
"Taman Tun Dr Ismail, Kuala Lumpur","3,100,000",5,3,2,Semi-detached House (Intermediate),3600,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","2,280,000",4,3,2,Bungalow,7167,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","1,980,000",4,3,2,Bungalow (Intermediate),5837,Partly Furnished
"Segambut, Kuala Lumpur","338,000",2,2,2,2-sty Terrace/Link House (Intermediate),602,Partly Furnished
"Segambut, Kuala Lumpur","350,000",2,2,2,2-sty Terrace/Link House,602,Fully Furnished
"OUG, Kuala Lumpur","3,500,000",4,4,6,Bungalow,8000,Partly Furnished
"Sungai Besi, Kuala Lumpur","900,000",6,5,3,3-sty Terrace/Link House (Intermediate),1600,Fully Furnished
"Taman Melawati, Kuala Lumpur","750,000",4,3,3,2-sty Terrace/Link House,1800,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","2,880,000",5,3,4,2-sty Terrace/Link House (Corner),4244,Partly Furnished
"Mont Kiara, Kuala Lumpur","2,400,000",5,5,3,Condominium,2702,Partly Furnished
"Bukit Jalil, Kuala Lumpur","1,720,000",7,7,2,2.5-sty Terrace/Link House (Intermediate),3033,Unfurnished
"Seputeh, Kuala Lumpur","3,750,000",4,3,10,Bungalow (Corner),9149,Partly Furnished
"Kepong, Kuala Lumpur","350,000",2,2,2,2-sty Terrace/Link House (Intermediate),700,Partly Furnished
"Jinjang, Kuala Lumpur","295,000",3,1,2,2-sty Terrace/Link House (EndLot),728,Unfurnished
"Kepong, Kuala Lumpur","2,040,000",6,5,4,2.5-sty Terrace/Link House (Intermediate),2400,Partly Furnished
"Sri Petaling, Kuala Lumpur","370,000",2,2,1,2-sty Terrace/Link House,770,Partly Furnished
"Damansara Heights, Kuala Lumpur","4,900,000",6,6,2,Semi-detached House,3700,Fully Furnished
"Ampang, Kuala Lumpur","2,800,000",5,5,2,Bungalow,14000,Partly Furnished
"Ampang, Kuala Lumpur","8,000,000",5,5,2,Bungalow,10000,Unfurnished
"Sri Petaling, Kuala Lumpur","410,000",3,2,2,2-sty Terrace/Link House,770,Partly Furnished
"Taman Melawati, Kuala Lumpur","499,000",2,2,2,2-sty Terrace/Link House (EndLot),770,Unfurnished
"Sri Petaling, Kuala Lumpur","350,000",3,2,1,2-sty Terrace/Link House,770,Partly Furnished
"Taman Melawati, Kuala Lumpur","520,000",3,2,1,2-sty Terrace/Link House (Intermediate),770,Unfurnished
"Sri Petaling, Kuala Lumpur","420,000",3,2,2,2-sty Terrace/Link House,840,Partly Furnished
"Kepong, Kuala Lumpur","920,000",5,3,2,2-sty Terrace/Link House (EndLot),1600,Partly Furnished
"Sri Petaling, Kuala Lumpur","338,000",2,1,2,2-sty Terrace/Link House (Intermediate),825,Unfurnished
"Desa ParkCity, Kuala Lumpur","3,480,000",5,5,2,3-sty Terrace/Link House (Corner),3450,Partly Furnished
"Bangsar, Kuala Lumpur","9,000,000",5,6,4,Bungalow (Intermediate),8000,Partly Furnished
"Bukit Jalil, Kuala Lumpur","998,000",6,5,4,3-sty Terrace/Link House (EndLot),1650,Partly Furnished
"Kepong, Kuala Lumpur","560,000",3,2,2,2-sty Terrace/Link House (Intermediate),880,Partly Furnished
