5. Which 3 locations have the highest average property prices,
,
Location,Average Price
"Bangsar South, Kuala Lumpur","24,845,000"
"Ampang Hilir, Kuala Lumpur","13,564,000"
"Bukit Tunku (Kenny Hills), Kuala Lumpur","10,987,500"
"Country Heights Damansara, Kuala Lumpur","9,059,412"
"Damansara Heights, Kuala Lumpur","6,758,855"
"Sri Hartamas, Kuala Lumpur","5,477,115"
"Mont Kiara, Kuala Lumpur","5,271,317"
"Bangsar, Kuala Lumpur","5,036,281"
"Bukit Kiara, Kuala Lumpur","4,988,888"
"Federal Hill, Kuala Lumpur","4,616,667"
"Seputeh, Kuala Lumpur","4,539,696"
"Setiawangsa, Kuala Lumpur","4,443,333"
"Damansara, Kuala Lumpur","4,096,000"
"KLCC, Kuala Lumpur","4,032,649"
"City Centre, Kuala Lumpur","3,840,000"
"Brickfields, Kuala Lumpur","3,750,000"
"SEMARAK, Kuala Lumpur","3,500,000"
"Desa ParkCity, Kuala Lumpur","3,439,445"
"Titiwangsa, Kuala Lumpur","3,280,000"
"Desa Petaling, Kuala Lumpur","3,230,000"
"Ampang, Kuala Lumpur","3,186,613"
"Taman Desa, Kuala Lumpur","3,035,368"
"Pantai, Kuala Lumpur","2,980,000"
"Salak Selatan, Kuala Lumpur","2,900,000"
"Taman Tun Dr Ismail, Kuala Lumpur","2,847,571"
"OUG, Kuala Lumpur","2,507,818"
"ADIVA Desa ParkCity, Kuala Lumpur","2,400,000"
"Bukit Jalil, Kuala Lumpur","1,957,887"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","1,934,000"
"Dutamas, Kuala Lumpur","1,886,000"
"Sunway SPK, Kuala Lumpur","1,821,818"
"KL Sentral, Kuala Lumpur","1,817,450"
"Taman Melawati, Kuala Lumpur","1,814,955"
"KL Eco City, Kuala Lumpur","1,804,275"
"Bukit Ledang, Kuala Lumpur","1,723,500"
"Bandar Menjalara, Kuala Lumpur","1,689,500"
"Segambut, Kuala Lumpur","1,453,100"
"Sungai Besi, Kuala Lumpur","1,437,844"
"Kuchai Lama, Kuala Lumpur","1,392,667"
"Sri Petaling, Kuala Lumpur","1,358,000"
"Jalan Ipoh, Kuala Lumpur","1,302,250"
"Desa Pandan, Kuala Lumpur","1,200,000"
"Kepong, Kuala Lumpur","1,168,824"
"Cheras, Kuala Lumpur","1,162,226"
"Keramat, Kuala Lumpur","1,136,667"
"Setapak, Kuala Lumpur","1,012,150"
"Sentul, Kuala Lumpur","926,667"
"Pandan Indah, Kuala Lumpur","905,667"
"Bukit Bintang, Kuala Lumpur","888,000"
"Alam Damai, Kuala Lumpur","880,000"
"Wangsa Maju, Kuala Lumpur","823,464"
"KL City, Kuala Lumpur","806,000"
"Pandan Perdana, Kuala Lumpur","730,000"
"Bandar Damai Perdana, Kuala Lumpur","667,333"
"Batu Caves, Kuala Lumpur","663,000"
"Jalan Kuching, Kuala Lumpur","655,000"
"Puchong, Kuala Lumpur","600,000"
"Jinjang, Kuala Lumpur","295,000"
Grand Total,"3,297,877"
